Name,Alternative name,Alternative name,WHO Region,continent,Country Code,Cases - cumulative total,Cases - cumulative total per 100000 population,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Government Type,Capital City,Latitude of Capital,Longitude of Capital,GDP - real growth rate,GDP - per capita (PPP),Industrial production growth rate,Unemployment rate,Distribution of family income - Gini index,Taxes and other revenues,Budget surplus (+) or deficit (-),Public debt,Inflation rate (consumer prices),Central bank discount rate,Commercial bank prime lending rate,Military expenditures,Median age,Population growth rate,Birth rate,Death rate,Net migration rate,Maternal mortality rate,Infant mortality rate,Life expectancy at birth,Total fertility rate,Obesity - adult prevalence rate,Education expenditures,"Unemployment, youth ages 15-24",year,life_exp,hdi_index,co2_consump,gdp,services,happiness_score,gdp_per_capita,cpi_corruption_score,health,freedom,generosity,government_trust,dystopia_residual,Year,social_support,abstainers lifetime Both sexes,abstainers lifetime Male,abstainers lifetime Female,abstainers 12m Both sexes,abstainers 12m Male,abstainers 12m Female,consumers 12m,consumers 12m Male,consumers 12m Female,heavy both,heavy male,heavy female,alcohol death both,alcohol death Male,alcohol death female,alcohol cancer death Male,alcohol cancer death Female,alcohol liver cirrhosis death Male,alcohol liver cirrhosis death Female,alcohol traffic death Male,alcohol traffic death Female,Alcohol-attributable Years of Life Lost (YLL) score,consumption Both sexes,consumption Male,consumption Female,consumption drinkers Both sexes,consumption drinkers Male,consumption drinkers Female
Bulgaria,,,Europe,Europe,BG,1287035,18514.541,38039,547.207,parliamentary democracy,Sofia,42 41 N,23 19 E,3.6,"$21,800 ",3.6,6.2,40.2,35.7,1.8,23.9,1.2,0,5.41,3.25,43,-0.63,8.5,14.5,-0.3,10,8.3,74.8,1.47,25,4.1,12.9,2018,73.3,0.813,6.32,7990,63.3,5.101500034,1.046554685,44,0.777776897,0.417820066,0.103833713,0,1.294961452,2020,1.460578918,13.9,6.8,20.6,34,20.8,46.1,66,79.2,53.9,38.7 [35.5-41.7],56.6 [53-60],20.6 [17.9-23.5],5.9,8.7,2.9,9.1,3.4,79.2,62.1,48.7,36.3,4,12.7 [11-14.6],20.2 [17.6-23.5],5.7 [4.7-6.4],18.5 [19.5-],25.6 [27.1-],8.8 [9.3-]
Burkina Faso,,,Africa,Africa,BF,21631,103.481,387,1.851,parliamentary republic,Ouagadougou,12 22 N,1 31 W,6.4,"$1,900 ",10.4,77,39.5,21.2,-7.9,38.1,0.4,4.25,5.3,2.06,17.4,2.76,36.9,8.7,-0.7,320,54.7,61.8,4.77,5.6,4.2,8.7,2018,61.3,0.443,0.198,719,47.7,4.768700123,0.302467644,40,0.312833875,0.322398156,0.186390609,0.126408055,2.588826418,2020,0.9293859,58.5,47.2,69.3,63.1,48.8,76.8,36.9,51.2,23.2,15.7 [14.3-17.2],27.3 [25-29.5],4.8 [4.2-5.6],4.5,6.7,2.4,7.4,2.4,66.9,42.3,30.9,22.2,5,12 [9.9-14.4],20.2 [16.6-24.3],4.2 [3.3-5],20.9 [23.1-],26.2 [29.1-],9.9 [11-]
Burundi,,,Africa,Africa,BI,51018,429.055,15,0.126,republic,Bujumbura,3 22 S,29 21 E,0,$700 ,-2,unknown,42.4,15.8,-5.7,51.7,16.6,11.25,14.8,1.88,17.1,3.23,40.9,8.6,0,548,57.4,61.4,5.93,5.4,4.8,2.9,2018,63.4,0.431,0.0467,282,10.3,3.775300026,0,19,0.295212835,0.275399059,0.187401786,0.212186828,2.401507378,2020,0.403575271,52.9,37.8,67.4,68.4,56.3,80,31.6,43.7,20,15.7 [14.6-16.8],26.5 [24.8-28.1],5.3 [4.7-6],5,7.4,2.2,8.6,1.9,66.7,40.3,31.4,24.8,5,7.2 [5.6-8.8],11.9 [9.3-14.7],2.8 [2.1-3.3],22.7 [25.3-],28.4 [31.7-],10.6 [11.9-]
C?te d’Ivoire,Cote d'Ivoire,,Africa,Africa,CI,87885,333.172,830,3.147,republic,Yamoussoukro,6 49 N,5 16 W,7.8,"$3,900 ",4.2,9.4,41.5,19.1,-4.2,47,0.8,4.25,5.4,1.36,19.9,2.3,30.1,8.4,1.3,617,62.6,60.1,3.83,10.3,5.1,3.9,2018,63.6,0.534,0.335,2250,46.1,,,,,,,,,,,56.7,45.7,68.3,61.5,47.7,75.9,38.5,52.3,24.1,17.1 [15.5-18.6],28.4 [26-30.7],5.2 [4.4-6],5.7,8.4,2.5,6.6,2.5,68.4,44.1,32.9,23.6,5,2.7 [1.9-3.6],4.3 [3-5.7],1.1 [0.8-1.5],20.3 [22.6-],25.3 [28.1-],9.5 [10.5-]
Cabo Verde,,,Africa,,CV,62991,11329.581,412,74.102,republic,Praia,14 55 N,23 31 W,4,"$7,000 ",2.9,9,unknown,27.8,-3,125.8,0.8,7.5,9.5,0.55,25.8,1.32,19.7,6,-0.6,58,21.1,72.7,2.21,11.8,5.2,32.5,,,,,,,,,,,,,,,,,55.7,44.2,67,66.2,53.1,78.6,39.4,53.8,25,13.5 [12.2-14.8],23.4 [21.4-25.4],4 [3.4-4.6],4.5,7.2,1.9,7.4,2.5,61.5,33.1,24,14.3,3,5.6 [4.5-6.7],8.8 [7.1-10.6],2.4 [1.9-3],16.8 [18.3-],21.1 [23-],7.8 [8.4-]
Cambodia,,,Western Pacific,Asia,KH,138082,825.9,3056,18.279,multiparty democracy under a constitutional monarchy,Phnom Penh,11 33 N,104 55 E,6.9,"$4,000 ",10.6,0.3,37.9,17.9,-1.8,30.4,2.9,5.25,10.92,2.21,25.7,1.48,22.5,7.4,-0.3,160,46.1,65.2,2.47,3.9,1.9,1.1,2018,69.7,0.585,0.64,1360,36.6,4.848400116,0.544634938,21,0.587904334,0.674940348,0.233342081,0.072837502,1.663300037,2020,1.071426034,45.6,30.3,59.6,69.1,56.8,80.4,30.9,43.2,19.6,10.9 [9.9-12],19.5 [17.7-21.3],3.1 [2.7-3.6],8,12.1,3.8,5.4,1.6,66.5,38,26.1,15.3,5,6.6 [5.1-8.1],10.9 [8.6-13.6],2.7 [2-3.2],20.3 [22.8-],25.7 [28.8-],9.5 [10.6-]
Cameroon,,,Africa,Africa,CM,123993,467.09,1965,7.402,republic,Yaounde,3 52 N,11 31 E,3.5,"$3,700 ",3.3,4.3,46.5,15.3,-3.4,36.9,0.6,4.25,13,1.25,18.6,2.54,35,9.4,-0.1,529,49.8,59.4,4.58,11.4,3.1,6.3,2018,62.6,0.56,0.323,1380,41.4,5.084899902,0.503958046,25,0.270189553,0.439242482,0.198020101,0.054393422,2.719370842,2020,0.89972645,60.9,48.5,72.8,60.6,46.2,75,33.8,46.9,21.4,17.6 [16-19.2],29.7 [27.3-32.1],5.6 [4.8-6.4],6,9.1,2.7,6.8,2.3,67.4,43.7,34.2,25.9,5,5.7 [4.6-6.7],9 [7.3-10.7],2.4 [1.9-2.8],21 [22.8-],26.5 [28.7-],9.9 [10.8-]
Canada,,,Americas,North America,CA,4408316,11680.086,47782,126.601,"a parliamentary democracy, a federation, and a constitutional monarchy",Ottawa,45 25 N,75 42 W,3,"$48,400 ",4.9,6.3,32.1,39.3,-1,89.7,1.6,1,3.2,1.31,42.4,0.72,10.2,8.8,5.7,10,4.5,82,1.6,29.4,5.3,11.1,2018,82.2,0.928,15.3,44800,78.9,7.23210001,1.301647663,77,1.022501945,0.644028127,0.28152892,0.351701856,2.195269108,2020,1.435391903,12.2,6,18.2,35.5,22.7,47.9,64.5,77.3,52.1,24.2 [22-26.5],38.5 [35.3-41.7],9.8 [8.5-11.3],4.5,7.1,1.9,7.2,2.5,72.7,54.6,38,22.7,2,8.9 [8-10.4],14 [12.5-16.3],4.1 [3.6-4.7],13.4 [14.2-],18.3 [19.4-],6.4 [6.8-]
Cayman Islands,,,Americas,,,31359,47716.068,36,54.778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,,,Africa,Africa,CF,15310,316.993,113,2.34,republic,Bangui,4 22 N,18 35 E,4.3,$700 ,3.9,6.9,43.6,14.6,-0.9,52.9,4.1,4.25,15.5,1.41,19.8,2.11,34,12.9,0,829,84.3,53.3,4.25,7.5,1.2,unknown,2018,51.5,0.395,0.0651,413,23.4,,,,,,,,,,,43.7,28.8,58,62.4,49.2,75.1,37.6,50.8,24.9,28.2 [25.6-30.4],42.9 [40-45],14.3 [11.9-16.5],3.6,5.5,1.5,4,1.4,43.3,28.5,39.5,32.6,5,2.4 [1.5-3.4],3.9 [2.4-5.5],1 [0.6-1.4],8.3 [9.3-],10.5 [11.8-],3.9 [4.4-]
Chad,,,Africa,Africa,TD,7641,46.518,194,1.181,republic,N'Djamena,12 06 N,15 02 E,-3.1,"$2,300 ",-4,unknown,43.3,13.5,-1.5,52.5,-0.9,4.25,15.5,2.13,15.8,3.23,43,10.5,-0.1,"1,140",71.7,57.5,5.9,6.1,2.9,unknown,2018,59.9,0.397,0.0656,659,22.7,4.422699928,0.302287489,21,0.1087441,0.228601769,0.210805088,0.085755408,2.74742651,2020,0.739118278,72.7,62.8,82.4,77.6,68.3,86.9,22.4,31.7,13.1,7.2 [6.4-8.1],12.8 [11.4-14.2],1.7 [1.5-2],1.8,2.8,0.7,5.3,1.6,26.9,16,17,12.6,4,1.4 [0.7-2.2],2.3 [1.2-3.6],0.5 [0.3-0.8],6.6 [7.5-],8.1 [9.2-],3.1 [3.5-]
Chile,,,Americas,South America,CL,4915134,25711.877,62417,326.514,republic,Santiago,33 27 S,70 40 W,1.5,"$24,600 ",-0.4,6.7,50.5,20.8,-2.8,23.6,2.2,3.35,4.6,1.89,34.8,0.75,13.4,6.3,0.3,13,6.4,79.1,1.79,28,5.4,18.1,2018,80.1,0.849,4.59,13900,68.5,6.228499889,1.096992493,67,0.889260828,0.417482227,0.155579001,0.06284935,2.283012867,2020,1.323286891,6.6,3.1,10.1,32.4,20,44.2,67.6,80,55.8,22.9 [18.9-27.1],36.6 [30.8-42.5],9.1 [7-11.7],5.4,9,1.3,4.7,2.2,71,53.6,36.5,25.4,3,9.1 [7.8-10.5],13.9 [12-16.1],4.4 [3.7-5],13.4 [14.3-],18.4 [19.6-],6.5 [6.9-]
China,,,Western Pacific,Asia,CN,9666687,657.023,30205,2.053,Communist state,Beijing,39 55 N,116 23 E,6.9,"$18,200 ",6.1,3.9,46.5,21.3,-3.8,47,1.6,2.25,4.35,1.87,37.7,0.37,12.1,8,-0.4,29,11.8,75.8,1.6,6.2,unknown,unknown,2018,77.4,0.755,7.06,9690,45.6,5.123899937,0.990533412,42,0.867248535,0.601605117,0.079021044,0.117255554,1.336181879,2020,1.132080674,42.1,29.1,55.6,44.1,31.4,57.4,55.9,68.6,42.6,23.6 [14.9-32.9],37.1 [24.5-48.9],9.2 [4.8-15.9],3.8,6.1,1,4.4,1,62.6,41.6,35.1,22.7,2,7.1 [5.7-8.3],10.9 [8.8-12.8],3 [2.6-3.7],12.7 [13.6-],16.7 [17.9-],5.8 [6.3-]
Colombia,,,Americas,South America,CO,6314769,12410.397,141895,278.866,republic,Bogota,4 36 N,74 05 W,1.8,"$14,400 ",-2.2,9.3,51.1,26.5,-2.7,49.4,4.3,4.75,13.69,3.5,30.4,0.97,15.8,5.5,-0.6,83,13.2,76.2,1.98,22.3,4.5,18.7,2018,80.1,0.764,1.96,6270,63.3,6.163400173,0.93220371,39,0.810020149,0.526890039,0.092374094,0.04584837,2.421656609,2020,1.33445096,26.4,14.8,37.3,61.7,48.3,74.4,38.3,51.7,25.6,15.4 [13.6-17.3],26.3 [23.4-29.1],4.9 [4.1-5.9],5.1,7.8,1.5,3.8,1.4,59.9,34.5,31.2,16.8,3,5.7 [4.6-6.9],9.3 [7.6-11.3],2.4 [1.8-2.8],14.7 [15.9-],18.8 [20.3-],6.7 [7.3-]
Comoros,,,Africa,Africa,KM,8965,1030.933,160,18.399,republic,Moroni,11 42 S,43 14 E,2.7,"$1,600 ",1,6.5,55.9,25.3,-6.5,32.4,1,1.93,10.5,unknown,20.2,1.57,25.3,7.1,-2.4,273,58.3,64.9,3.21,7.8,2.5,unknown,2018,68.5,0.552,0.263,1290,45.7,,,,,,,,,,,93.3,89.8,96.9,95.9,93.8,98.1,4.1,6.2,1.9,0.3 [0.2-0.3],0.5 [0.4-0.6],0 [0-0],0.9,1.4,0.4,1.3,0.1,24.7,7,2.8,1.7,1,0.7 [0.3-1.3],1.2 [0.6-2.2],0.2 [0.1-0.3],17.9 [21.4-],21.1 [25.1-],7.8 [9.3-]
Congo,"Congo, Republic of the","Congo, Rep.",Africa,Africa,CG,25074,454.397,386,6.995,republic,Brazzaville,4 15 S,15 17 E,-3.1,"$6,800 ",-3,36,48.9,22.5,-7,130.8,0.5,4.25,14.6,2.55,19.6,2.17,33.7,9.2,-2.8,378,53.5,60.3,4.26,9.6,4.6,unknown,2018,65,0.573,0.617,1840,44.5,,,,,,,,,,,29.7,17.4,41.8,48.3,34.5,62,51.7,65.5,38,41.7 [38.6-44.2],58.2 [55.4-60.3],25.4 [21.9-28.4],8.3,12.4,3.7,4,2.2,66.6,46.2,49.2,41.9,5,9.3 [7.4-11.2],14.6 [11.6-17.6],4 [3.1-4.8],14.1 [15.6-],18.5 [20.4-],6.8 [7.6-]
Cook Islands,,,Western Pacific,,,6389,36375.541,1,5.693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,13.4,34.4,49.4,35.5,63,50.6,64.5,37,39.7 [37.9-41.3],56.4 [54.8-57.7],23.6 [21.6-25.4],No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,.,.,.,32.9 [34.5-],41 [43-],15.2 [15.9-]
Costa Rica,,,Americas,North America,CR,1146135,22499.184,9038,177.42,democratic republic,San Jose,9 56 N,84 05 W,3.3,"$16,900 ",1.3,8.1,48.5,14.3,-6.1,48.9,1.6,3.5,11.37,unknown,31.7,1.13,15.3,4.8,0.8,27,7.8,78.9,1.89,25.7,7.4,20.6,2018,80,0.808,1.61,12500,67.9,7.121399879,0.981107712,57,0.939635336,0.645017743,0.131266311,0.096362092,2.953135014,2020,1.374853611,27.9,16,39.6,63.4,50.5,76.1,36.6,49.5,23.9,14.5 [12.7-16.3],24.5 [21.7-27.3],4.4 [3.6-5.3],4.1,6.2,1.2,4,1.4,55.7,32.3,29.4,17.4,2,4.9 [4.1-6.1],7.8 [6.5-9.8],2 [1.6-2.5],12.5 [13.5-],15.8 [17.1-],5.6 [6.1-]
Croatia,,,Europe,Europe,HR,1253306,30883.564,17312,426.597,parliamentary democracy,Zagreb,45 48 N,16 00 E,2.8,"$24,700 ",1.2,12.4,30.8,46.1,0.8,77.8,1.1,3,4.23,1.68,43.3,-0.51,8.8,12.4,-1.4,8,9.1,76.3,1.41,24.4,4.6,27.4,2018,78.6,0.848,4.48,13300,66.3,5.504700184,1.109024286,47,0.900575578,0.381456882,0.113998979,0.012325006,1.676029205,2020,1.311264873,18.5,9.4,26.8,40.3,26.1,53.2,59.7,73.9,46.8,32.1 [29.2-35],49.1 [45.4-52.6],15.2 [13.1-17.6],6.1,10,2.4,9.2,3,73.4,52.9,42.7,27.9,3,9.2 [12.3-16],14.7 [19.9-26],4.2 [5.3-7],14.2 [15.3-],19.4 [20.9-],6.7 [7.3-]
Cuba,,,Americas,North America,CU,1111384,9812.145,8530,75.309,Communist state,Havana,23 07 N,82 21 W,1.6,"$12,300 ",-1.2,2.6,unknown,58.1,-10.8,47.7,5.5,unknown,unknown,2.87,41.8,-0.27,10.6,8.9,-4.5,36,4.4,78.9,1.71,24.6,12.8,6.1,2018,78.3,0.781,2.53,8040,65.3,,,,,,,,,,,29.7,17.3,42.1,53.9,40.1,67.7,46.1,59.9,32.3,22.2 [20.1-24.3],35.7 [32.8-38.6],8.3 [7.1-9.7],4.2,6.6,1.3,5.7,1.3,61.3,37.7,33.7,24.1,2,5.8 [4.8-7.1],9.3 [7.7-11.3],2.4 [2-3],14.6 [15.7-],18.6 [20.1-],6.5 [7-]
Cura?ao,,,Americas,,,45986,28024.352,295,179.776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,,,Europe,Asia,CY,614237,69170.444,1226,138.062,republic ,Nicosia,35 10 N,33 22 E,3.9,"$37,200 ",13.4,11.1,34.8,39.9,1.8,97.5,0.7,0,4.13,1.57,37.2,1.27,11.2,6.8,8.3,6,7.7,79,1.47,21.8,6.4,24.7,2018,80.8,0.885,6.3,32000,81.2,6.15899992,1.21279943,57,1.026124597,0.459385872,0.227932334,0.051207144,2.032334805,2020,1.149170756,13.6,6.9,20.6,31.2,19.4,43.4,68.8,80.6,56.6,30 [27.6-32.4],45.5 [42.3-48.6],13.3 [11.7-15],3.6,5.6,1.4,4.8,3.4,74.7,57.8,41.7,28.9,2,10.8 [10.4-13.8],16.9 [16.2-21.7],4.8 [4.6-6.1],14.5 [15.5-],19.7 [21.1-],6.9 [7.4-]
Czechia,Czech Republic,,Europe,Europe,CZ,4558202,42624.163,41882,391.642,parliamentary democracy,Prague,50 05 N,14 28 E,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,2018,79.3,0.898,9.94,19700,59.7,,,,,,,,,,,9.3,4.4,14,24.6,14,34.6,75.4,86,65.4,47 [43.5-50.4],65.3 [61.7-68.5],28.6 [25.1-32.1],6.2,9.4,2.9,9.1,3.9,80.2,67.3,53,40.7,3,14.5 [12.4-16.6],22.3 [19.3-25.7],7 [5.9-8],18.2 [19.2-],25.8 [27.3-],8.9 [9.4-]
Democratic People's Republic of Korea,"Korea, North",North Korea,South-East Asia,,KP,0,0,0,0,Communist state one-man dictatorship,Pyongyang,39 01 N,125 45 E,-1.1,"$1,700 ",1,25.6,unknown,11.4,-0.4,unknown,unknown,unknown,unknown,unknown,34.2,0.52,14.6,9.3,0,89,21.4,71,1.94,6.8,unknown,unknown,,,,,,,,,,,,,,,,,58,44.4,70.8,59.7,46.3,72.3,40.3,53.7,27.7,13.9 [8.2-20.6],23.6 [14.4-33.5],4.3 [2.1-8],3.4,5.7,0.8,3.6,0.8,45.6,25.8,28.5,15.8,3,3.8 [3-4.7],6.3 [5-7.8],1.5 [1.1-1.8],8.3 [8.8-],10.9 [11.5-],3.8 [4.1-]
Democratic Republic of the Congo,"Congo, Democratic Republic of the","Congo, Dem. Rep.",Africa,Africa,CD,94203,105.183,1455,1.625,republic,Kinshasa,4 19 S,15 18 E,3.4,$800 ,1.6,unknown,42.1,11.2,-0.9,18.1,41.5,20,20.62,0.67,18.8,2.33,32.8,9.4,-0.1,473,66.7,58.1,4.54,6.7,1.5,8.7,2018,64.7,0.478,0.0243,507,25.5,,,,,,,,,,,45.1,30.4,59.6,63.6,50.8,76.2,36.4,49.2,23.8,27.1 [24.6-29.3],41.3 [38.5-43.5],13.4 [11.1-15.6],4,6,1.8,2.5,0.9,34.1,24.6,39.1,35.4,5,2 [1.1-3],3.2 [1.8-4.9],0.8 [0.5-1.2],6.7 [7.5-],8.4 [9.4-],3.2 [3.5-]
Denmark,,,Europe,Europe,DK,3352606,57577.58,7528,129.286,constitutional monarchy,Copenhagen,55 40 N,12 35 E,2.3,"$50,100 ",2.5,5.7,29,53,1.1,35.3,1.1,0,2.84,1.32,41.9,0.59,10.9,9.3,4.3,4,3.2,81,1.78,19.7,7.6,11,2018,81.1,0.939,6.06,56600,78.9,7.645599842,1.326948524,88,0.979332566,0.665039897,0.242793396,0.495260328,2.432740688,2020,1.503449202,10.7,5.2,16.1,25.6,15,35.8,74.4,85,64.2,34 [31.5-36.6],51 [47.9-54.1],16.9 [15-18.9],5.6,8.6,2.6,7.5,3.5,74.3,60.3,42.9,26.3,2,10.3 [9.4-12.5],15.8 [14.5-19.2],4.9 [4.4-5.9],13.2 [14-],18.6 [19.7-],6.5 [6.9-]
Djibouti,,,Eastern Mediterranean,Africa,DJ,15690,1588.057,189,19.13,republic,Djibouti,11 35 N,43 09 E,6.7,"$3,600 ",2.7,40,40.9,35.3,-9,31.8,0.7,unknown,11.3,unknown,24.2,2.13,23.3,7.5,5.5,248,44.3,64,2.27,13.5,4.5,unknown,2018,66.7,0.518,0.672,3090,61.1,,,,,,,,,,,68.9,56.2,81.6,80.3,71.8,88.9,19.7,28.2,11.1,7.7 [6.9-8.4],13.4 [12.2-14.6],1.9 [1.6-2.2],1.7,2.3,1,2.1,0.6,14.2,14,14.4,9.3,2,0.4 [0.3-0.8],0.8 [0.5-1.3],0.1 [0.1-0.2],2.6 [2.9-],3.2 [3.5-],1.2 [1.3-]
Dominica,,,Americas,,DM,15760,21891.625,74,102.791,parliamentary democracy,Roseau,15 18 N,61 24 W,-4.7,"$11,000 ",-13,23,unknown,40.9,-5.9,82.7,0.6,6.5,8.08,unknown,34,0.17,15,7.9,-5.4,unknown,10.3,77.4,2.03,27.9,3.4,unknown,,,,,,,,,,,,,,,,,30.2,17.7,42.5,54.8,41,68.3,45.2,59,31.7,21.9 [19.9-23.9],35.5 [32.7-38.3],8.3 [7.1-9.6],No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,11.2 [10.9-15.2],18.1 [17.7-24.7],4.6 [4.3-6.1],17.2 [18.6-],22.2 [24-],8 [8.6-]
Dominican Republic,,,Americas,North America,DO,648456,5977.704,4384,40.413,democratic republic,Santo Domingo,18 28 N,69 54 W,4.6,"$17,000 ",3.1,5.1,47.1,14.9,-3,37.2,3.3,unknown,13.91,0.74,27.3,0.99,18.9,6.4,-2.6,95,22.7,71.3,2.28,27.6,unknown,13.5,2018,72.9,0.751,2.34,8000,71,5.689199924,0.983191848,28,0.741901696,0.5628739,0.112196781,0.115945682,1.844246864,2020,1.328888893,32.8,19.7,45.5,57,43.3,70.3,43,56.7,29.7,19.9 [18-21.8],32.8 [30-35.5],7.2 [6.1-8.4],6.6,9.6,2.5,5,2.2,63.9,39.5,37.8,23.2,4,6.7 [5.8-8.1],10.7 [9.3-13.1],2.8 [2.4-3.4],14.9 [16-],19.2 [20.6-],7 [7.5-]
Ecuador,,,Americas,South America,EC,1011132,5731.049,35940,203.706,republic,Quito,0 13 S,78 30 W,2.4,"$11,500 ",-0.6,4.6,45.9,32,-4.5,45.4,0.4,8.17,7.92,2.38,28.1,1.25,17.6,5.1,0,59,15.9,77.1,2.15,19.9,5,7.9,2018,76.2,0.762,2.46,5950,52.6,5.925199986,0.853383601,39,0.838837743,0.555234551,0.115006477,0.086753383,2.254933834,2020,1.221027613,11.6,5.7,17.4,53.5,39.7,67.1,46.5,60.3,32.9,21.3 [17.3-25.3],34.8 [28.9-40.3],7.9 [5.7-10.6],5.7,8.8,1.8,2.8,1.3,48.2,31.9,34.8,23,3,4.2 [3.4-5.2],6.4 [5.2-8],2 [1.6-2.5],9.3 [10-],12 [12.9-],4.3 [4.7-]
Egypt,,,Eastern Mediterranean,Africa,EG,515453,503.695,24798,24.232,republic,Cairo,30 03 N,31 15 E,4.2,"$12,700 ",3.5,12.2,31.8,17.9,-8.6,103,23.5,19.25,18.18,1.25,23.9,2.38,28.8,4.5,-0.4,37,18.3,73.2,3.41,32,unknown,29.6,2018,70.7,0.701,2.43,3830,50.8,4.151400089,0.875228941,33,0.596911311,0.373684734,0.068801254,0.095461793,1.158818245,2020,0.982539535,94.3,91.2,97.3,97.2,95.8,98.6,2.8,4.2,1.4,0.5 [0.4-0.7],0.9 [0.7-1.2],0.1 [0.1-0.1],1.8,2.6,0.8,2,0.3,15.5,4.5,1.8,1.5,1,0.4 [0.2-0.8],0.6 [0.3-1.4],0.1 [0.1-0.2],12.8 [14.7-],15.2 [17.4-],5.5 [6.3-]
El Salvador,,,Americas,North America,SV,201785,3110.987,4230,65.215,republic,San Salvador,13 42 N,89 12 W,2.3,"$8,000 ",3.6,7,36,23.7,-2.5,67.9,1,unknown,6.47,1.03,27.6,0.25,16.1,5.8,-7.8,46,16.3,75.1,1.84,24.6,3.8,10.1,2018,75.6,0.67,1.11,3920,61.1,6.34829998,0.748940408,36,0.752730012,0.524043918,0.1189363,0.117030352,2.937191725,2020,1.149397612,35,20.8,46.8,70.6,58.2,81,29.4,41.8,19,10.4 [9.1-11.8],19.2 [16.9-21.6],3.1 [2.5-3.7],7.2,11.3,1.9,2.4,1,53.2,27.8,22.9,17.4,5,3.9 [3-4.9],6.6 [5.3-8.5],1.7 [1.1-1.8],12.2 [13.3-],15.7 [17.1-],5.8 [6.3-]
Equatorial Guinea,,,Africa,Africa,GQ,17086,1217.832,183,13.044,republic,Malabo,3 45 N,8 47 E,-3.2,"$37,400 ",-6.9,8.6,unknown,16.9,-3.3,37.4,0.7,8.5,15,0.18,19.9,2.41,31.7,7.6,0,301,63.3,65,4.29,8,unknown,unknown,2018,65.8,0.582,4.35,8120,40.5,,,,,,,,,,,14.5,7.5,22,27.1,16.7,38.3,72.9,83.3,61.7,63.1 [59.4-65.9],77.6 [75-79.4],47.3 [42.5-51.2],9.4,13.1,4.2,8.6,2.5,72.4,57.7,58.6,53.2,5,7.2 [6-8.6],10.1 [7.7-11.1],3.3 [3.6-5.2],15.8 [16.7-],21.1 [22.4-],7.7 [8.2-]
Eritrea,,,Africa,,ER,10189,287.304,103,2.904,transitional government ,Asmara,15 20 N,38 56 E,5,"$1,600 ",5.4,5.8,unknown,34.9,-9.8,131.2,9,unknown,unknown,unknown,19.9,0.89,29.1,7.1,-13.1,480,44.4,65.6,3.9,5,unknown,unknown,,,,,,,,,,,,,,,,,68.1,55.1,80.8,79.7,70.8,88.4,20.3,29.2,11.6,8 [7.3-8.8],14.2 [12.9-15.4],2.1 [1.8-2.4],2.2,7.8,2.1,2.7,0.8,23,16.9,15.6,10.5,3,1.4 [0.9-2.2],2.4 [1.5-3.6],0.5 [0.3-0.8],5.9 [6.7-],7.2 [8.1-],2.7 [3-]
Estonia,,,Europe,Europe,EE,609297,45847.103,2790,209.936,parliamentary republic,Tallinn,59 26 N,24 43 E,4.9,"$31,700 ",9.5,5.8,34.8,39.9,-0.3,9,3.7,0,4.2,2.14,43,-0.6,9.9,12.7,-3.1,9,3.8,77,1.6,21.2,5.2,12.1,2018,77.9,0.889,14.8,19700,67.1,6.021800041,1.192441225,75,0.842615008,0.576664805,0.125136748,0.201766819,1.629928112,2020,1.453232527,11.6,5.3,16.9,27.2,15.1,37.4,72.8,84.9,62.6,47.4 [42.2-52.3],66.2 [60.8-70.7],29.6 [24.2-35],20.2,20.7,19.7,7.7,3.7,50.3,62.5,50.6,47.5,5,9.2 [17.5-21.9],15 [29-36.8],4.4 [7.3-9.7],20.9 [22.4-],28.4 [30.5-],9.8 [10.5-]
Eswatini,,,Africa,Africa,,73770,6358.584,1422,122.569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,57.8,0.605,1.06,3780,63.8,,,,,,,,,,,55.8,40.8,70.2,71.2,59.6,82.3,28.8,40.4,17.7,16.4 [15-17.7],27.5 [25.5-29.3],6 [5.1-6.9],5,3.1,1.1,6.3,1.1,68.3,44.9,31.4,22.6,5,10 [8.6-12.2],17 [14.9-21],3.8 [3-4.3],32.7 [35.5-],40.6 [44.1-],15.3 [16.7-]
